loop_id,label,p2ll
690,2,2.29610587031376
691,2,1.4851355971451026
692,0,1.7865963529054885
693,4,2.5555083100794014
694,1,3.2227471598499675
695,1,1.7974623576774025
696,0,1.5275568795109717
697,1,2.7515156139457013
698,1,1.1489313319365178
699,1,2.351758736331757
700,0,2.3377587575916055
701,0,2.2264462115335277
702,1,3.2331619632120088
703,0,2.122123496733658
704,0,2.34065973464011
705,1,1.9094328995826604
706,1,3.7586289202430767
707,1,3.8827061881688043
708,1,1.788090822092293
709,0,2.2554644769856953
710,0,0.8934348787589355
711,1,1.4855082632933647
712,0,0.5310483411029779
713,1,1.687541829264885
714,1,1.8399575196626512
715,0,3.4556330341516697
716,1,4.045527298466341
717,0,1.774306153402365
718,1,1.9452179778132808
719,0,1.383297568692139
720,1,2.844494350526272
721,0,1.5839890676774853
722,1,1.3705501018785775
723,5,1.239722711259831
724,3,0.8645510961249239
725,3,0.8935637707305584
726,5,0.9961356140047122
727,5,2.5422525093548884
728,5,2.5422525093548884
729,3,0.6937534961490999
730,5,1.028047552748307
731,5,1.5468851609138423
732,5,2.994532476588844
733,5,3.2712236841318614
734,5,3.136137690803038
735,5,2.3730724736919164
736,5,2.2404544467406176
737,3,2.050880733274684
738,4,1.1200883650601416
739,4,1.1407494815582249
740,4,0.9490469088317204
741,4,0.7202388776810211
742,5,0.9920569958060992
743,5,1.890097161377736
744,5,1.3559008815243438
745,3,1.9149020039856655
746,5,1.7263643397353172
747,5,1.4614072889241716
748,3,0.9785740607074158
749,4,1.0508036032293906
750,5,1.6926185664289677
751,4,1.2855096555250476
752,4,3.153749416809695
753,4,3.153749416809695
754,5,3.0355559213128473
755,4,1.4586753171592424
756,2,1.662116847241672
757,4,1.159956259193608
758,5,2.2565563044166206
759,5,1.664600784693261
760,3,1.2488182388096802
761,3,1.3243248617599366
762,3,1.8454510342628534
763,3,2.8005971326395542
764,3,2.007603396681692
765,5,1.270844546752038
766,3,1.1632289428919744
767,2,2.5139387091722467
768,2,1.8562726788022244
769,2,1.8535579612741313
770,2,1.938539276382577
771,4,0.670793887965868
772,2,1.9792200925910113
773,2,2.9559545773452753
774,5,1.4502120358226682
775,3,1.5228502059197206
776,3,2.8253696661779317
777,1,2.6852127220338766
778,4,1.2732272338252337
779,4,1.0704023172847983
780,4,1.3309650882212611
781,3,2.5777778299137712
782,3,0.8763920105316536
783,5,1.987124885175909
784,5,1.832876947181542
785,3,1.1441389046929333
786,5,
787,2,2.485123780129115
788,0,1.30517659099546
789,0,1.6025656029924316
790,0,1.4701229884523297
791,1,1.7368289372836614
792,0,2.033631710616395
793,0,2.1347212991652467
794,0,2.1201649700943532
795,0,
796,0,
